,count
enfeitiçados,0
escorregador,0
fofinho,0
espirituos*,0
desviado,0
desviadas,0
desviada,0
gordelicia,0
ajudas,0
gordos,0
bombardeio,0
blasf,0
gordo,0
bugre,0
gordinho,0
come-santo,0
gordinha,0
crentelho,0
curandeiro,0
gordice,0
dem*,0
demoníaco,0
demônia,0
chei*,0
santificados,0
santificai,0
mongols,0
bugiranga,0
bundas,0
bunduda,0
mud,0
mongóis,0
busseta,0
cachorra,0
canema,0
buceta,0
caravela,0
carinhosa,0
cavala,0
centopéia,0
chereca,0
chifruda,0
chochota,0
bucetuda,0
mudinha,0
sáfica,0
viadão,0
surda*,0
surda,0
viad*,0
viadado,0
surd*,0
viadinhos,0
retardadas,0
ossudo,0
bosseta,0
mudos,0
atirado,0
mudinho,0
barbeira,0
biscate,0
biscates,0
boceta,0
chota,0
mancou,0
corna,0
gâmia,0
fufa,0
galinha,0
galiza,0
geni,0
mancando,0
gostosa*,0
mancadas,0
histérica,0
cornuda,0
hormôn*,0
hormônios,0
japona,0
kenga,0
gorducho,0
mancada,0
loira*,0
fubanga,0
frígidas,0
frígida,0
frágil,0
delícia,0
empregada,0
estefana,0
estress*,0
estresssada,0
estuprad*,0
mancos,0
femeaço,0
feminaze,0
femini*,0
fodida,0
freira,0
freira*,0
frág*,0
manco,0
surdas,0
sodomia,0
santificais,0
ativo*,0
banha,0
umbandismo,0
umbandista,0
balão,0
afeminado,0
aidético,0
balofo,0
aviadado,0
barata,0
balofa,0
baitolas,0
baitolão,0
baleia,0
bichas,0
bichinha,0
bichona,0
barabga,0
seitas,0
sapatão,0
santuário*,0
santificam,0
santificamos,0
santificar,0
santificarão,0
bolota,0
barril,0
santuário,0
santuários,0
seita,0
santíssim*,0
sarava,0
sat*,0
satan*,0
satanismo,0
barriguinhas,0
barrigudo,0
anaguel,0
boiola,0
boiolas,0
mouco,0
surdo,0
maricas,0
maricão,0
mariquinha,0
masculinizada,0
mona,0
morde-fronhas,0
